Sales,03/07/20,03/14/20,03/21/20,03/28/20,04/04/20,04/11/20,04/18/20,04/25/20,05/02/20,05/09/20,05/16/20,05/23/20,05/30/20,06/06/20,06/13/20,06/20/20,06/27/20,07/04/20,07/11/20,07/18/20,07/25/20,08/01/20,08/08/20,08/15/20,08/22/20,08/29/20,09/05/20,09/12/20,09/19/20,09/26/20,10/03/20,10/10/20,10/17/20
     Recycling Income,"11,149.00","74,861.00","58,801.00",658.00,"16,665.00",43.00,"55,442.00","25,701.00","5,905.00","44,494.00","7,666.00","2,359.00",480.00,"48,007.00","45,345.00","1,569.00","1,116.00","159,190.00","1,672.00",906.00,"12,538.00","2,097.00","193,220.00","26,538.00","2,024.00",429.00,"103,405.00","113,551.00","2,064.00","1,553.00","109,732.00","99,282.00","35,740.00"
     Product Income,"52,503.00","37,429.00","30,149.00","12,756.00","26,381.00","9,938.00","5,638.00","12,131.00","18,831.00","28,587.00","23,086.00","23,113.00","27,050.00","37,893.00","40,310.00","40,223.00","43,851.00","28,538.00","70,805.00","44,014.00","68,601.00","33,880.00","47,925.00","40,084.00","63,776.00","27,276.00","43,302.00","36,492.00","23,294.00","54,044.00","42,030.00","39,428.00","28,447.00"
          Total Income,"63,652.00","112,290.00","88,950.00","13,414.00","43,046.00","9,981.00","61,080.00","37,832.00","24,736.00","73,081.00","30,752.00","25,472.00","27,530.00","85,900.00","85,655.00","41,792.00","44,967.00","187,728.00","72,477.00","44,920.00","81,139.00","35,977.00","241,145.00","66,622.00","65,800.00","27,705.00","146,707.00","150,043.00","25,358.00","55,597.00","151,762.00","138,710.00","64,187.00"
Cash Balance,"419,445.00","343,995.00","395,770.00","420,420.00","423,745.00","422,431.00","421,130.00","498,888.00","614,417.00","628,161.00","609,620.00","571,834.00","648,934.00","555,401.00","579,130.00","542,812.00","572,117.00","521,005.00","541,472.00","427,712.00","478,739.00","448,529.00","513,669.00","469,956.00","469,666.00","451,914.00","523,928.00","384,836.00","452,655.00","417,075.00","513,420.00","534,034.00","556,638.00"
Accounts Receivable,"466,218.00","544,588.00","525,445.00","420,709.00","410,080.00","415,367.00","391,603.00","405,010.00","396,358.00","329,752.00","351,204.00","378,038.00","233,231.00","293,642.00","339,893.00","341,725.00","278,996.00","377,994.00","398,176.00","384,479.00","382,663.00","346,591.00","465,850.00","454,902.00","482,042.00","440,108.00","413,837.00","546,080.00","421,726.00","454,397.00","480,894.00","444,161.00","438,744.00"
