Paint Collected (gallons),03/07/20,03/14/20,03/21/20,03/28/20,04/04/20,04/11/20,04/18/20,04/25/20,05/02/20,05/09/20,05/16/20,05/23/20,05/30/20,06/06/20,06/13/20,06/20/20,06/27/20,07/04/20,07/11/20,07/18/20,07/25/20,08/01/20,08/08/20,08/15/20,08/22/20,08/29/20,09/05/20,09/12/20,09/19/20,09/26/20,10/03/20,10/10/20,10/17/20
CO,5643,7508,8033,7274,670,4491,5933,3947,3015,2981,11282,7888,5753,14800,8725,10649,12543,11195,15171,16085,17669,12678,11837,22673,11505,16124,12154,13588,15249,17570,21011,10422,8595
WA,2476,2596,1266,1148,0,0,0,0,0,2403,595,909,1061,1163,1040,1234,3779,3644,3287,3025,2586,3016,2845,3149,1913,4204,1506,2159,7114,3414,2930,3128,4916
AZ,240,1057,619,157,82,2630,364,220,128,421,172,365,345,296,187,447,296,270,287,377,345,138,197,578,845,201,422,946,932,320,471,299,1178
Total Collected,8358,11161,9918,8578,752,7122,6297,4166,3143,5805,12049,9162,7159,16259,9952,12330,16618,15108,18746,19486,20600,15831,14879,26400,14262,20528,14082,16693,23295,21303,24412,13849,14689
