STATE,POP (000),Total Sold,State Recycle,Green Recycle,Green Product
Colorado,5695564,13669354,738145,442887,310021
Washington,7535591,18085418,976631,585968,410177
Arizona,0,0,0,0,0
Oregon,419073,10057711,543116,325870,228109
California,39557045,94936908,5126593,3075956,2153169
New York,0,0,0,0,0
TOTAL,56978913,0,0,4430680,3101476
GROSS PROFIT,0,0,0,0,0
NET INCOME,0,0,0,0,0
