Sales,03/07/20,03/14/20,03/21/20,03/28/20,04/04/20,04/11/20,04/18/20,04/25/20,05/02/20,05/09/20,05/16/20,05/23/20,05/30/20,06/06/20,06/13/20,06/20/20,06/27/20,07/04/20,07/11/20,07/18/20,07/25/20,08/01/20,08/08/20,08/15/20,08/22/20,08/29/20,09/05/20,09/12/20,09/19/20,09/26/20,10/03/20,10/10/20,10/17/20
     Recycling Income,11149,74861,58801,658,16665,43,55442,25701,5905,44494,7666,2359,480,48007,45345,1569,1116,159190,1672,906,12538,2097,193220,26538,2024,429,103405,113551,2064,1553,109732,99282,35740
     Product Income,52503,37429,30149,12756,26381,9938,5638,12131,18831,28587,23086,23113,27050,37893,40310,40223,43851,28538,70805,44014,68601,33880,47925,40084,63776,27276,43302,36492,23294,54044,42030,39428,28447
          Total Income,63652,112290,88950,13414,43046,9981,61080,37832,24736,73081,30752,25472,27530,85900,85655,41792,44967,187728,72477,44920,81139,35977,241145,66622,65800,27705,146707,150043,25358,55597,151762,138710,64187
Cash Balance,419445,343995,395770,420420,423745,422431,421130,498888,614417,628161,609620,571834,648934,555401,579130,542812,572117,521005,541472,427712,478739,448529,513669,469956,469666,451914,523928,384836,452655,417075,513420,534034,556638
Accounts Receivable,466218,544588,525445,420709,410080,415367,391603,405010,396358,329752,351204,378038,233231,293642,339893,341725,278996,377994,398176,384479,382663,346591,465850,454902,482042,440108,413837,546080,421726,454397,480894,444161,438744
