Total Paint Processing,03/07/20,03/14/20,03/21/20,03/28/20,04/04/20,04/11/20,04/18/20,04/25/20,05/02/20,05/09/20,05/16/20,05/23/20,05/30/20,06/06/20,06/13/20,06/20/20,06/27/20,07/04/20,07/11/20,07/18/20,07/25/20,08/01/20,08/08/20,08/15/20,08/22/20,08/29/20,09/05/20,09/12/20,09/19/20,09/26/20,10/03/20,10/10/20,10/17/20
Paint Processed (gallons),15045,10455,2635,0,0,0,0,0,7990,7665,7905,9775,10880,13005,18190,13260,13855,9010,14450,13940,16320,11645,11475,12240,11815,15045,11663,9690,11560,5398,12176,14918,8224
Paint Packaged (gallons),9055,7529,3867,1130,0,0,0,0,3134,5152,5374,8632,7874,8415,8709,7763,8779,5749,9545,8343,7033,8282,8033,7443,5796,7143,8300,5850,5640,4410,7712,6765,6657
Paint Shipped (gallons),5348,3986,5818,4520,660,0,8500,2608,2880,3770,5073,3190,2531,6440,26623,12377,5027,3909,11854,6883,2973,10643,10285,4698,7679,6003,3588,4329,7669,4656,16482,13819,14950
